Letter,Gene_ID,Gene_Name,GO_ID,GO_Namespace,GO_Name,GOF,a,b,c,d,Pvalue,Adjusted_Pvalue,Enrichment_Score,GO_Level,GO_Children,GSEA_MSigDB,NCBI_Entrez
H,3146,HMGB1,GO:0005488,molecular_function,binding,,31,3,838,9447,1.384132823261631e-30,1.384132823261631e-30,68.752478966666,1,52,0,0
C,1108,CHD4,GO:0016581,cellular_component,NuRD complex,,12,9,6,10292,1.795883865767953e-30,1.795883865767953e-30,68.49205548474481,3,1,1,1
C,26038,CHD5,GO:0016581,cellular_component,NuRD complex,,14,43,4,10258,1.3135417137469492e-29,1.3135417137469492e-29,66.50224060948204,3,1,1,0
P,5366,PMAIP1,GO:0002524,biological_process,hypersensitivity,,17,4,117,10181,1.7097295063844338e-29,1.7097295063844338e-29,66.23863252222598,5,4,0,0
E,2067,ERCC1,GO:0072718,biological_process,response to cisplatin,,18,41,31,10229,2.4568498863258046e-29,2.661587376852955e-29,65.7960449938077,3,1,0,0
U,7371,UCK2,GO:0005694,cellular_component,chromosome,,22,4,333,9960,4.4289070304809566e-29,4.4289070304809566e-29,65.28681486319239,5,6,0,0
B,650,BMP2,GO:0023052,biological_process,signaling,,35,6,1103,9175,4.459054140233768e-28,4.459054140233768e-28,62.97744593647341,1,6,0,0
B,655,BMP7,GO:0023052,biological_process,signaling,,38,10,1100,9171,5.140112847161555e-28,5.140112847161555e-28,62.83530756990651,1,6,0,0
C,7203,CCT3,GO:0008537,cellular_component,proteasome activator complex,,9,6,0,10304,1.3738652739451352e-27,1.3738652739451352e-27,61.852169375743955,2,1,0,0
X,7507,XPA,GO:0006281,biological_process,DNA repair,,21,32,103,10163,1.8771313460432946e-27,1.8771313460432946e-27,61.54005277910171,5,15,1,1
P,23198,PSME4,GO:0008537,cellular_component,proteasome activator complex,,9,8,0,10302,6.673059902019389e-27,6.673059902019389e-27,60.27171900018308,2,1,0,0
T,7258,TSPY1,GO:0007049,biological_process,cell cycle,,45,114,367,9793,1.707230546626492e-26,1.754653617366117e-26,59.304940949429344,2,2,0,0
G,2852,GPER1,GO:0016020,cellular_component,membrane,,37,91,280,9911,2.3109730362709716e-26,2.310973036270972e-26,59.02954375418009,2,16,0,0
V,7422,VEGFA,GO:0001525,biological_process,angiogenesis,,26,104,86,10103,2.489534413615561e-26,2.5627560140160188e-26,58.92612917046243,3,5,0,2
I,83729,INHBE,GO:0023052,biological_process,signaling,,41,18,1097,9163,2.5789922636742407e-26,2.578992263674241e-26,58.91981369068905,1,6,0,0
D,1788,DNMT3A,GO:0006306,biological_process,DNA methylation,,25,33,212,10049,2.664249068338591e-26,2.664249068338591e-26,58.887290175416254,4,4,1,1
M,51586,MED15,GO:0016592,cellular_component,mediator complex,,9,7,1,10302,3.138344602620915e-26,3.138344602620915e-26,58.72351695355957,3,1,1,0
A,49,ACR,GO:0008537,cellular_component,proteasome activator complex,,9,12,0,10298,8.068336063350671e-26,8.068336063350671e-26,57.779265144759705,2,1,0,0
B,672,BRCA1,GO:0032259,biological_process,methylation,,45,56,696,9522,2.2481269065906468e-25,2.2481269065906468e-25,56.754529941303396,2,1,1,0
D,1761,DMRT1,GO:0005694,cellular_component,chromosome,,31,49,324,9915,3.6580845389161807e-25,3.6580845389161803e-25,56.26768766445619,5,6,0,0
R,5889,RAD51C,GO:0032259,biological_process,methylation,,29,11,712,9567,4.349920438537381e-25,4.349920438537381e-25,56.09446976990922,2,1,0,0
R,5925,RB1,GO:0016310,biological_process,phosphorylation,,28,33,337,9921,5.47751223134803e-25,5.47751223134803e-25,55.86397629934962,5,8,0,0
D,57135,DAZ4,GO:0035822,biological_process,gene conversion,,8,0,6,10305,9.4439498932181e-25,9.4439498932181e-25,55.319253011315595,7,5,0,0
H,283120,H19,GO:0032259,biological_process,methylation,,39,38,702,9540,9.460825051558166e-25,9.460825051558166e-25,55.31746773083789,2,1,0,0
M,81631,MAP1LC3B,GO:0006914,biological_process,autophagy,,15,4,158,10142,4.5972592134999244e-24,4.5972592134999244e-24,53.73658192908739,3,7,0,1
D,1617,DAZ1,GO:0035822,biological_process,gene conversion,,9,7,5,10298,6.267619814883025e-24,6.267619814883025e-24,53.42664556413542,7,5,0,0
M,4292,MLH1,GO:0006298,biological_process,mismatch repair,,16,44,41,10218,9.40364710425927e-24,9.588032341597687e-24,53.001526542157805,6,2,1,1
P,5563,PRKAA2,GO:0023052,biological_process,signaling,,30,6,1108,9175,1.34521691208593e-23,1.34521691208593e-23,52.662901865885985,1,6,0,0
C,1045,CDX2,GO:0060417,cellular_component,yolk,,23,6,589,9701,1.3813025488024882e-23,1.3813025488024882e-23,52.6364302089209,2,1,0,0
T,59341,TRPV4,GO:0005216,molecular_function,ion channel activity,,7,2,0,10310,1.459330838620711e-23,1.459330838620711e-23,52.581479137919814,4,7,0,1
B,652,BMP4,GO:0023052,biological_process,signaling,,36,16,1102,9165,3.664601309432497e-23,3.664601309432497e-23,51.66073759267982,1,6,0,0
M,4194,MDM4,GO:0002039,molecular_function,p53 binding,,10,9,14,10286,4.770393473975604e-23,4.770393473975604e-23,51.397028348061795,3,1,0,1
I,3630,INS,GO:0040007,biological_process,growth,,35,16,1057,9211,5.896409266940696e-23,5.896409266940696e-23,51.185113572046426,1,10,1,0
D,1789,DNMT3B,GO:0006306,biological_process,DNA methylation,,32,113,205,9969,6.303952531472422e-23,6.500951048080936e-23,51.08750865757509,4,4,1,1
G,2688,GH1,GO:0040007,biological_process,growth,,25,2,1067,9225,9.144615807256123e-23,9.144615807256123e-23,50.7462918691377,1,10,1,0
X,7503,XIST,GO:0070988,biological_process,demethylation,,20,104,54,10141,2.77567911201876e-22,2.914463067619698e-22,49.58718643938966,2,3,0,0
B,651,BMP3,GO:0023052,biological_process,signaling,,28,6,1110,9175,7.994341011755318e-22,7.994341011755318e-22,48.57813812802646,1,6,0,0
G,2657,GDF1,GO:0023052,biological_process,signaling,,28,6,1110,9175,7.994341011755318e-22,7.994341011755318e-22,48.57813812802646,1,6,0,0
C,820,CAMP,GO:0023052,biological_process,signaling,,32,12,1106,9169,8.71631599343412e-22,8.71631599343412e-22,48.4916753750342,1,6,0,0
F,55294,FBXW7,GO:0016049,biological_process,cell growth,,16,11,174,10118,1.008067253699256e-21,1.008067253699256e-21,48.34625206551172,2,6,0,0
M,407037,MIR320A,GO:0005634,cellular_component,nucleus,,15,8,169,10127,1.4260840289998991e-21,1.426084028999899e-21,47.99935470625155,5,11,0,0
Y,253943,YTHDF3,GO:0009451,biological_process,RNA modification,,7,3,2,10307,1.7503055215560544e-21,1.7503055215560544e-21,47.79449659643119,5,14,0,0
P,23532,PRAME,GO:0030154,biological_process,cell differentiation,,18,43,99,10159,2.171270920269932e-21,2.171270920269932e-21,47.578974279221,3,81,0,0
G,2697,GJA1,GO:0005921,cellular_component,gap junction,,8,23,0,10288,2.480876577464588e-21,2.480876577464588e-21,47.44567499649479,5,1,1,3
I,3476,IGBP1,GO:0016887,molecular_function,ATPase,,7,0,8,10304,2.6085538740305926e-21,2.6085538740305926e-21,47.3954909563472,1,16,0,0
S,8878,SQSTM1,GO:0006914,biological_process,autophagy,,13,3,160,10143,2.812938293762854e-21,2.812938293762854e-21,47.32005735970352,3,7,0,1
S,4088,SMAD3,GO:0023052,biological_process,signaling,,28,7,1110,9174,3.581016338327267e-21,3.581016338327267e-21,47.07864029936495,1,6,0,0
G,2719,GPC3,GO:0060417,cellular_component,yolk,,29,28,583,9679,4.331011939675875e-21,4.331011939675875e-21,46.88848573385202,2,1,0,0
T,7157,TP53,GO:0007049,biological_process,cell cycle,,63,347,349,9560,5.0332492853743806e-21,5.124762908744824e-21,46.72020269062892,2,2,1,0
S,6736,SRY,GO:0000806,cellular_component,Y chromosome,,17,48,79,10175,8.673629473562371e-21,8.673629473562371e-21,46.1939996252796,7,1,0,0
M,2475,MTOR,GO:0023052,biological_process,signaling,,52,64,1086,9117,1.6683261911242297e-20,1.6683261911242297e-20,45.53988101683542,1,6,0,0
T,7040,TGFB1,GO:0023052,biological_process,signaling,,41,34,1097,9147,1.7185585388565763e-20,1.7185585388565763e-20,45.510215979227475,1,6,0,0
X,7503,XIST,GO:0032259,biological_process,methylation,,44,80,697,9498,4.5161058090829025e-20,4.991485367933735e-20,44.443968325487496,2,1,0,0
N,2649,NR6A1,GO:0022008,biological_process,neurogenesis,,9,27,5,10278,5.1129170038812906e-20,5.1129170038812906e-20,44.41993177628693,4,2,0,0
G,4616,GADD45B,GO:0007049,biological_process,cell cycle,,18,8,394,9899,5.383116706153103e-20,5.383116706153104e-20,44.3684343400331,2,2,1,0
S,4087,SMAD2,GO:0023052,biological_process,signaling,,27,8,1111,9173,1.0406911720767598e-19,1.0406911720767598e-19,43.70923168593941,1,6,0,0
T,56155,TEX14,GO:0005874,cellular_component,microtubule,,10,7,49,10253,3.1560604390772247e-19,3.1560604390772247e-19,42.59979221355517,6,7,0,0
N,4691,NCL,GO:0005634,cellular_component,nucleus,,18,34,166,10101,3.608507412561162e-19,3.608507412561162e-19,42.4658225391642,5,11,0,2
I,3476,IGBP1,GO:0008537,cellular_component,proteasome activator complex,,6,1,3,10309,3.5108094871895376e-19,3.6779908913414204e-19,42.4467501172327,2,1,0,0
B,672,BRCA1,GO:0035825,biological_process,homologous recombination,,16,85,46,10172,3.9095701837069475e-19,3.9670638628791084e-19,42.37109052695158,6,2,0,0
V,7425,VGF,GO:0032259,biological_process,methylation,,16,0,725,9578,4.296509908398708e-19,4.296509908398708e-19,42.291313722962514,2,1,0,0
C,1588,CYP19A1,GO:0070330,molecular_function,aromatase activity,,6,6,0,10307,5.5183622774548655e-19,5.5183622774548655e-19,42.041035639485585,5,1,1,2
K,3791,KDR,GO:0040007,biological_process,growth,,34,25,1058,9202,9.380854057151474e-19,9.380854057151474e-19,41.51044595714458,1,10,0,0
M,5594,MAPK1,GO:0023052,biological_process,signaling,,65,119,1073,9062,1.2101485297858794e-18,1.2457411336031111e-18,41.22680103305516,1,6,0,0
E,2099,ESR1,GO:0016020,cellular_component,membrane,,28,82,289,9920,1.54399860187834e-18,1.54399860187834e-18,41.01215612780986,2,16,0,1
T,7013,TERF1,GO:0051179,biological_process,localization,,18,19,288,9994,2.0337912301339975e-18,2.0337912301339975e-18,40.73663002158642,1,10,0,0
N,4691,NCL,GO:0005488,molecular_function,binding,,29,23,840,9427,2.3693149353825973e-18,2.5009435429038526e-18,40.52986359606107,1,52,0,0
S,57167,SALL4,GO:0060417,cellular_component,yolk,,22,15,590,9692,2.862087145644405e-18,2.862087145644405e-18,40.39498054401025,2,1,0,0
T,943,TNFRSF8,GO:0016020,cellular_component,membrane,,20,29,297,9973,3.9011258456184275e-18,3.9011258456184275e-18,40.0852664840531,2,16,0,0
B,672,BRCA1,GO:0006281,biological_process,DNA repair,,19,82,105,10113,5.710238756863414e-18,5.880693645127993e-18,39.67485695208133,5,15,1,0
C,1021,CDK6,GO:0007049,biological_process,cell cycle,,17,10,395,9897,7.043902004187337e-18,7.043902004187337e-18,39.49436939531087,2,2,1,0
A,6790,AURKA,GO:0005819,cellular_component,spindle,,12,19,79,10209,1.2866001151105408e-17,1.2866001151105408e-17,38.89194341143523,5,2,1,1
S,53340,SPA17,GO:0008537,cellular_component,proteasome activator complex,,6,5,3,10305,2.3148236621368142e-17,2.314823662136814e-17,38.30461306812495,2,1,0,0
A,49,ACR,GO:0007340,biological_process,acrosome reaction,,8,13,17,10281,6.790697889963298e-17,7.042205219221197e-17,37.19202521841201,2,1,1,1
Z,7707,ZNF148,GO:0003720,molecular_function,telomerase activity,,10,23,37,10249,1.183614625930582e-16,1.183614625930582e-16,36.672788489280535,5,1,0,0
A,268,AMH,GO:0001880,biological_process,Mullerian duct regression,,8,63,2,10246,1.4893147956869988e-16,1.4893147956869988e-16,36.44304534238583,3,1,0,1
D,57054,DAZ3,GO:0035822,biological_process,gene conversion,,6,3,8,10302,1.5035096322993082e-16,1.5035096322993082e-16,36.43355935789463,7,5,0,0
A,1636,ACE,GO:0016887,molecular_function,ATPase,,7,14,8,10290,3.004513037258037e-16,3.004513037258037e-16,35.741245983878486,1,16,0,0
H,3306,HSPA2,GO:0008537,cellular_component,proteasome activator complex,,6,10,3,10300,4.0073585390455633e-16,4.0073585390455633e-16,35.45322918207907,2,1,0,0
H,9734,HDAC9,GO:0005856,cellular_component,cytoskeleton,,8,15,21,10275,6.440766014218287e-16,6.440766014218287e-16,34.97871400855483,5,9,0,0
A,480,ATP1A4,GO:0016887,molecular_function,ATPase,,6,5,9,10299,1.3758122311326535e-15,1.3758122311326535e-15,34.2197321246437,1,16,0,0
S,53340,SPA17,GO:0016887,molecular_function,ATPase,,6,5,9,10299,1.3758122311326535e-15,1.4308447203779596e-15,34.18051141149042,1,16,0,0
D,1761,DMRT1,GO:0036093,biological_process,germ cell proliferation,,11,69,25,10214,1.5331800536062364e-15,1.6061886275874859e-15,34.0649123344851,3,1,1,0
A,9212,AURKB,GO:0000910,biological_process,cytokinesis,,7,19,8,10285,1.6938955078812821e-15,1.6938955078812821e-15,34.01174548424256,3,4,1,0
T,7258,TSPY1,GO:0000279,biological_process,M phase,,13,146,22,10138,1.8532430994823206e-15,1.9591427051670248e-15,33.866269412676445,3,2,0,0
C,847,CAT,GO:0004096,molecular_function,catalase activity,,4,0,0,10315,2.1179384837105675e-15,2.1179384837105675e-15,33.788333192671416,3,1,0,3
H,3014,H2AX,GO:0016310,biological_process,phosphorylation,,14,9,351,9945,2.298506361242167e-15,2.298506361242167e-15,33.70651689108797,5,8,0,0
C,1026,CDKN1A,GO:0007049,biological_process,cell cycle,,20,32,392,9875,2.6113394950843127e-15,2.6113394950843127e-15,33.57891308871923,2,2,1,0
A,1636,ACE,GO:0008537,cellular_component,proteasome activator complex,,6,15,3,10295,2.7120889094668997e-15,2.79684168788774e-15,33.51028558297642,2,1,0,0
M,2475,MTOR,GO:0016310,biological_process,phosphorylation,,27,89,338,9865,2.6896845695184276e-15,2.8119429590419923e-15,33.50490070600372,5,8,0,1
D,1769,DNAH8,GO:0016887,molecular_function,ATPase,,5,0,10,10304,3.082971045416385e-15,3.082971045416385e-15,33.41288263774186,1,16,0,0
I,3480,IGF1R,GO:0040007,biological_process,growth,,34,38,1058,9189,3.1264436390910213e-15,3.1264436390910213e-15,33.39888025388595,1,10,0,0
C,1434,CSE1L,GO:0005819,cellular_component,spindle,,14,63,77,10165,3.268925625968926e-15,3.268925625968926e-15,33.354315018737026,5,2,0,0
K,3845,KRAS,GO:0005694,cellular_component,chromosome,,18,28,337,9936,3.483216527704867e-15,3.483216527704867e-15,33.290820238446514,5,6,0,0
M,2475,MTOR,GO:0006914,biological_process,autophagy,,20,96,153,10050,3.568939938540487e-15,3.908838980306248e-15,33.17553600099068,3,7,0,0
C,26038,CHD5,GO:0000785,cellular_component,chromatin,,15,42,143,10119,3.8578117135079256e-15,4.154566460700843e-15,33.11456831363548,2,5,1,0
F,2316,FLNA,GO:0031941,cellular_component,filamentous actin,,6,38,0,10275,4.215844834566249e-15,4.215844834566249e-15,33.09992638829429,2,1,0,0
G,9573,GDF3,GO:0023052,biological_process,signaling,,31,29,1107,9152,6.775273702375476e-15,6.775273702375476e-15,32.625496630086325,1,6,0,0
T,56155,TEX14,GO:0000776,cellular_component,kinetochore,,7,10,20,10282,6.882962642409412e-15,7.374602831152941e-15,32.54073434753794,3,1,1,1
C,960,CD44,GO:0005886,cellular_component,plasma membrane,,8,10,44,10257,9.969574998125326e-15,9.969574998125326e-15,32.23923843991722,3,3,0,1
S,81848,SPRY4,GO:0016310,biological_process,phosphorylation,,24,70,341,9884,1.0599019117364028e-14,1.0599019117364028e-14,32.178014934172126,5,8,0,0
T,7124,TNF,GO:0040007,biological_process,growth,,20,7,1072,9220,1.1347627818788775e-14,1.1347627818788775e-14,32.10976767557728,1,10,0,0
C,7203,CCT3,GO:0016887,molecular_function,ATPase,,6,9,9,10295,1.48600668887708e-14,1.5324443979044888e-14,31.80932719570127,1,16,0,0
F,2288,FKBP4,GO:0032259,biological_process,methylation,,12,0,729,9578,1.7300638787618463e-14,1.7300638787618463e-14,31.688032969948836,2,1,0,0
A,324,APC,GO:0032259,biological_process,methylation,,12,0,729,9578,1.7300638787618463e-14,1.7300638787618463e-14,31.688032969948836,2,1,0,0
F,2247,FGF2,GO:0040007,biological_process,growth,,23,13,1069,9214,1.7669879698750616e-14,1.7669879698750616e-14,31.666914916822368,1,10,1,0
P,5562,PRKAA1,GO:0006914,biological_process,autophagy,,9,3,164,10143,1.7903492387394915e-14,1.7903492387394915e-14,31.65378059565351,3,7,0,0
A,6790,AURKA,GO:0005813,cellular_component,centrosome,,8,23,23,10265,1.8697052698588626e-14,2.003255646277353e-14,31.54141762168605,3,1,1,1
D,123872,DNAAF1,GO:0005874,cellular_component,microtubule,,9,19,50,10241,2.192301048103249e-14,2.192301048103249e-14,31.45123960279791,6,7,0,0
H,3306,HSPA2,GO:0016887,molecular_function,ATPase,,6,10,9,10294,2.375831103432535e-14,2.5738170287185798e-14,31.290801279683237,1,16,0,1
C,768,CA9,GO:0005886,cellular_component,plasma membrane,,9,23,43,10244,2.5978112641520768e-14,2.5978112641520768e-14,31.281522032899858,3,3,0,1
K,4254,KITLG,GO:0023052,biological_process,signaling,,51,98,1087,9083,2.930214730775154e-14,2.930214730775154e-14,31.161115594619044,1,6,0,0
M,4436,MSH2,GO:0006298,biological_process,mismatch repair,,7,4,50,10258,3.47710092812769e-14,3.47710092812769e-14,30.989992421953072,6,2,1,1
P,23198,PSME4,GO:0016887,molecular_function,ATPase,,6,11,9,10293,3.6689905571293254e-14,3.795507472892406e-14,30.90237317856169,1,16,0,0
S,6736,SRY,GO:0007530,biological_process,sex determination,,9,56,19,10235,5.521680401364865e-14,5.74254761741946e-14,30.488288354263773,3,7,1,0
C,1434,CSE1L,GO:0051301,biological_process,cell division,,10,67,26,10216,6.36345539100183e-14,6.496027378314369e-14,30.365000484424154,2,18,0,0
A,480,ATP1A4,GO:0008537,cellular_component,proteasome activator complex,,5,6,4,10304,5.964639457101934e-14,6.627377174557704e-14,30.34498217560326,2,1,0,0
T,56155,TEX14,GO:0051225,biological_process,spindle assembly,,6,11,10,10292,5.865014765178387e-14,6.767324729051984e-14,30.324085458666726,4,4,0,0
D,1843,DUSP1,GO:0007049,biological_process,cell cycle,,12,5,400,9902,7.244708539316609e-14,7.244708539316609e-14,30.25591995617107,2,2,1,0
H,79441,HAUS3,GO:0016049,biological_process,cell growth,,12,19,178,10110,1.1147291673924933e-13,1.1147291673924931e-13,29.82499473271486,2,6,0,0
P,5133,PDCD1,GO:0012501,biological_process,programmed cell death,,6,13,10,10290,1.283653611848449e-13,1.283653611848449e-13,29.683895812753725,3,10,0,0
M,56339,METTL3,GO:0001510,biological_process,RNA methylation,,6,50,1,10262,1.351727387603357e-13,1.351727387603357e-13,29.63222288802122,4,8,1,1
T,7157,TP53,GO:0072718,biological_process,response to cisplatin,,18,392,31,9878,1.5674010975609775e-13,1.6105405773103622e-13,29.4570363239772,3,1,0,0
P,5347,PLK1,GO:0000776,cellular_component,kinetochore,,6,6,21,10286,1.6164565647995315e-13,1.6164565647995315e-13,29.453369761004648,3,1,1,7
A,49,ACR,GO:0016887,molecular_function,ATPase,,6,15,9,10289,1.6038991184906261e-13,1.7272759737591359e-13,29.38706062301153,1,16,0,0
F,26240,FAM50B,GO:0032259,biological_process,methylation,,18,13,723,9565,1.7926782484641967e-13,1.7926782484641965e-13,29.349895479111762,2,1,0,0
P,378825,PICSAR,GO:0005737,cellular_component,cytoplasm,,16,49,197,10057,1.6406174954663478e-13,1.8046792450129824e-13,29.34322333652282,2,5,0,0
S,4086,SMAD1,GO:0023052,biological_process,signaling,,17,4,1121,9177,1.840403149632084e-13,1.840403149632084e-13,29.323621558240355,1,6,0,0
C,93659,CGB5,GO:0046903,biological_process,secretion,,12,60,68,10179,2.120588053450336e-13,2.120588053450336e-13,29.181912774999432,4,10,0,0
S,6385,SDC4,GO:0005925,cellular_component,focal adhesion,,6,18,9,10286,3.9693680983351675e-13,3.969368098335168e-13,28.55499929607735,5,1,0,0
C,29126,CD274,GO:0012501,biological_process,programmed cell death,,7,43,9,10260,4.482145251267203e-13,4.482145251267203e-13,28.43350442637884,3,10,0,0
P,378825,PICSAR,GO:0005488,molecular_function,binding,,27,38,842,9412,4.248002766705991e-13,5.192003381529545e-13,28.28648657822488,1,52,0,0
S,6774,STAT3,GO:0023052,biological_process,signaling,,22,14,1116,9167,5.897251733492707e-13,5.897251733492707e-13,28.159119774415707,1,6,0,0
H,3099,HK2,GO:0005886,cellular_component,plasma membrane,,7,9,45,10258,5.994162890369814e-13,5.994162890369814e-13,28.142820064826832,3,3,0,0
