Letter,Gene_ID,Gene_Name,GO_ID,GO_Namespace,GO_Name,GOF,a,b,c,d,Pvalue,Adjusted_Pvalue,Enrichment_Score,GO_Level,GO_Children,GSEA_MSigDB,NCBI_Entrez
E,1950,EGF,GO:0040007,biological_process,growth,,1186,1010,44946,196794,1.198015992298577e-297,1.198015992298577e-297,683.6871057704633,1,10,0,0
T,7040,TGFB1,GO:0040007,biological_process,growth,,2593,4306,43539,193498,2.836844253198463e-296,2.8472738276587514e-296,680.5188255414432,1,10,1,0
C,1029,CDKN2A,GO:0032259,biological_process,methylation,,414,1298,5066,237158,3.2535835489566592e-292,3.2535835489566592e-292,671.1750901349219,2,1,0,0
G,2879,GPX4,GO:0097707,biological_process,ferroptosis,,121,40,430,243345,4.675976428894384e-289,4.675976428894384e-289,663.9046538725515,4,1,0,0
P,142,PARP1,GO:0006281,biological_process,DNA repair,,263,1036,1582,241055,2.3550139180305877e-287,2.3550139180305877e-287,659.9853750518485,5,15,1,1
B,672,BRCA1,GO:0035825,biological_process,homologous recombination,,187,930,472,242347,7.778778340570844e-277,7.828642304292453e-277,635.758281661025,6,2,0,0
B,675,BRCA2,GO:0006281,biological_process,DNA repair,,232,732,1613,241359,5.361570492320651e-272,5.400993804764185e-272,624.6165623198239,5,15,1,0
M,5609,MAP2K7,GO:0023052,biological_process,signaling,,1074,988,43262,198612,8.707119161046908e-267,8.707119161046908e-267,612.6260788439968,1,6,0,0
C,999,CDH1,GO:0098609,biological_process,cell-cell adhesion,,192,2468,195,241081,2.681637083437333e-266,2.681637083437333e-266,611.5012072763587,3,20,0,2
R,11186,RASSF1,GO:0032259,biological_process,methylation,,231,184,5249,238272,5.508778435973115e-263,5.508778435973115e-263,603.8735365583086,2,1,0,0
A,9474,ATG5,GO:0006914,biological_process,autophagy,,208,84,5815,237829,1.111487874733025e-262,1.111487874733025e-262,603.1715948189996,3,7,0,1
T,7157,TP53,GO:0007049,biological_process,cell cycle,,786,4430,7979,230741,1.3791093817600433e-257,1.3791093817600433e-257,591.4429309841813,2,2,1,0
C,920,CD4,GO:0007613,biological_process,memory,,150,426,484,242876,3.76803692150979e-255,3.76803692150979e-255,585.8326445581133,3,4,0,0
M,4255,MGMT,GO:0032259,biological_process,methylation,,216,147,5264,238309,5.646678889465449e-255,5.646678889465449e-255,585.4281311483239,2,1,1,0
G,2638,GC,GO:0005499,molecular_function,vitamin D binding,,72,39,0,243825,1.1411478996571925e-254,1.1411478996571925e-254,584.7245789351708,4,1,1,1
P,5395,PMS2,GO:0006298,biological_process,mismatch repair,,103,18,486,243329,2.5860761837385505e-253,2.5860761837385508e-253,581.6038867875088,6,2,1,1
N,4790,NFKB1,GO:0051059,molecular_function,NF-kappaB binding,,145,4804,6,238981,5.817915933851494e-237,5.847751400178938e-237,543.9466098282743,6,1,0,0
C,29126,CD274,GO:0012501,biological_process,programmed cell death,,164,917,491,242364,1.713186073062103e-234,1.713186073062103e-234,538.2665569230762,3,10,0,0
M,5595,MAPK3,GO:0023052,biological_process,signaling,,1231,1538,43105,198062,5.89716487393428e-225,5.937834976513137e-225,516.3003013387939,1,6,0,0
H,3082,HGF,GO:0040007,biological_process,growth,,795,605,45337,197199,3.282244643248926e-218,3.282244643248926e-218,500.7750227419075,1,10,0,0
U,8408,ULK1,GO:0006914,biological_process,autophagy,,185,110,5838,237803,3.6001937074872125e-217,3.6001937074872125e-217,498.3799775280581,3,7,0,1
C,54205,CYCS,GO:0005829,cellular_component,cytosol,,132,387,576,242841,2.8460876230418767e-215,2.8460876230418767e-215,494.0098497063877,2,1,0,1
K,3791,KDR,GO:0001525,biological_process,angiogenesis,,330,813,7405,235388,1.8267496720394574e-212,1.8267496720394574e-212,487.5455014625808,3,5,0,1
Z,6935,ZEB1,GO:0070888,molecular_function,E-box binding,,89,692,13,243142,4.73805982219319e-209,4.7380598221931897e-209,479.6846567040553,8,1,0,0
M,84557,MAP1LC3A,GO:0005776,cellular_component,autophagosome,,119,780,177,242860,8.388558371004535e-209,8.51376073475087e-209,479.09860067131075,6,2,1,7
G,2688,GH1,GO:0040007,biological_process,growth,,379,60,45753,197744,5.198817821754837e-206,5.198817821754837e-206,472.6840978990024,1,10,1,0
M,2475,MTOR,GO:0006914,biological_process,autophagy,,527,3722,5496,234191,5.297600916089881e-205,5.324356476272153e-205,470.3576522090131,3,7,0,0
S,8878,SQSTM1,GO:0006914,biological_process,autophagy,,209,252,5814,237661,2.1717962549242796e-204,2.1717962549242796e-204,468.9518043783971,3,7,0,1
V,7424,VEGFC,GO:0001946,biological_process,lymphangiogenesis,,102,274,262,243298,8.208409553099558e-202,8.208409553099558e-202,463.0170296007935,3,1,1,0
C,1021,CDK6,GO:0007049,biological_process,cell cycle,,262,383,8503,234788,5.08116364013675e-199,5.08116364013675e-199,456.58889320743657,2,2,1,0
T,8743,TNFSF10,GO:0046960,biological_process,sensitization,,149,1032,524,242231,9.39455067710189e-198,9.39455067710189e-198,453.67171860684687,5,1,0,0
D,1610,DAO,GO:0008219,biological_process,cell death,,135,25,5497,238279,1.5046358592883896e-193,1.5046358592883896e-193,443.99037203288674,2,4,0,0
F,2152,F3,GO:0050817,biological_process,coagulation,,104,351,289,243192,5.246116649037716e-193,5.246116649037716e-193,442.7414348308475,2,2,1,0
C,1017,CDK2,GO:0007049,biological_process,cell cycle,,255,380,8510,234791,3.3218613097487967e-192,3.321861309748797e-192,440.89581259355924,2,2,1,0
M,56339,METTL3,GO:0001510,biological_process,RNA methylation,,73,263,22,243578,6.133127332950933e-192,6.133127332950933e-192,440.28263306649285,4,8,1,1
D,10059,DNM1L,GO:0000266,biological_process,mitochondrial fission,,80,93,196,243567,2.4003906799884058e-191,2.4003906799884058e-191,438.9181212544281,6,1,1,3
C,925,CD8A,GO:0042110,biological_process,T cell activation,,136,1656,239,241905,1.2885816707610209e-188,1.2976561895691969e-188,432.6254377767502,4,6,1,1
M,81631,MAP1LC3B,GO:0006914,biological_process,autophagy,,172,139,5851,237774,3.386459922882725e-188,3.386459922882725e-188,431.6662123776547,3,7,0,1
T,7039,TGFA,GO:0023052,biological_process,signaling,,784,750,43552,198850,3.8457849333956016e-188,3.8457849333956016e-188,431.53901975683146,1,6,0,0
P,5747,PTK2,GO:0016310,biological_process,phosphorylation,,644,1864,16438,224990,2.3644749994153e-187,2.384178957743761e-187,429.7145575773331,5,8,0,0
P,142,PARP1,GO:0035825,biological_process,homologous recombination,,142,1157,517,242120,2.202938050859644e-180,2.218901370068772e-180,413.6683045438841,6,2,0,0
E,1977,EIF4E,GO:0006412,biological_process,translation,,121,142,1867,241806,4.6872920469314405e-178,4.6872920469314405e-178,408.31529152594896,5,4,0,0
C,960,CD44,GO:0009986,cellular_component,cell surface,,209,946,2668,240113,6.411811073853243e-176,6.411811073853243e-176,403.3968345971034,2,1,1,2
S,6714,SRC,GO:0016310,biological_process,phosphorylation,,596,1709,16486,225145,6.407569448506098e-175,6.407569448506098e-175,401.09491125613306,5,8,0,0
A,283,ANG,GO:0009303,biological_process,rRNA transcription,,73,806,4,243053,2.7211655081774793e-174,2.7211655081774793e-174,399.6487458967806,7,4,1,1
R,6198,RPS6KB1,GO:0016310,biological_process,phosphorylation,,303,329,16779,226525,2.398376019853136e-173,2.398376019853136e-173,397.47242923804714,5,8,0,0
C,3576,CXCL8,GO:0046903,biological_process,secretion,,267,1052,4935,237682,3.390557898991089e-172,3.390557898991089e-172,394.8236415151502,4,10,0,0
G,2735,GLI1,GO:0023052,biological_process,signaling,,719,691,43617,198909,6.94519829610227e-172,6.94519829610227e-172,394.10658546682265,1,6,0,0
K,3845,KRAS,GO:0023052,biological_process,signaling,,2230,4807,42106,194793,1.9593713114718306e-169,1.9593713114718306e-169,388.46425705365874,1,6,0,0
I,3429,IFI27,GO:0007049,biological_process,cell cycle,,224,338,8541,234833,4.627457662534734e-168,4.627457662534734e-168,385.3022880066771,2,2,0,0
C,3576,CXCL8,GO:0001525,biological_process,angiogenesis,,306,1013,7429,235188,7.768899050945931e-167,7.838889132485986e-167,382.47261339796756,3,5,0,1
G,2932,GSK3B,GO:0016310,biological_process,phosphorylation,,366,602,16716,226252,2.6132775662746006e-166,2.6132775662746006e-166,381.2685202309808,5,8,0,0
C,983,CDK1,GO:0007049,biological_process,cell cycle,,232,397,8533,234774,6.490329453535539e-165,6.490329453535539e-165,378.05622705133334,2,2,1,0
A,10533,ATG7,GO:0006914,biological_process,autophagy,,131,59,5892,237854,1.296754852737314e-162,1.296754852737314e-162,372.75892018856257,3,7,0,2
M,4221,MEN1,GO:0005694,cellular_component,chromosome,,180,754,2487,240515,2.0470057858570245e-162,2.0470057858570245e-162,372.3024069318546,5,6,0,0
C,836,CASP3,GO:0008219,biological_process,cell death,,273,1135,5359,237169,3.8402454626200266e-162,3.840245462620027e-162,371.6732487779214,2,4,0,0
T,8743,TNFSF10,GO:0008219,biological_process,cell death,,251,930,5381,237374,3.8407357844184953e-159,3.8824829125100006e-159,364.75455491117873,2,4,0,0
P,79728,PALB2,GO:0035825,biological_process,homologous recombination,,97,343,562,242934,5.773159000347193e-154,5.773159000347193e-154,352.8448849033175,6,2,0,0
S,6480,ST6GAL1,GO:0097503,biological_process,sialylation,,64,60,255,243557,4.371128996413035e-152,4.371128996413035e-152,348.5179128077725,5,1,1,1
C,54205,CYCS,GO:0031966,cellular_component,mitochondrial membrane,,94,425,422,242995,4.39028466828041e-151,4.43852955474503e-151,346.2000259018732,4,2,0,0
A,308,ANXA5,GO:0008219,biological_process,cell death,,197,499,5435,237805,7.389366172170362e-151,7.389366172170362e-151,345.6903070791316,2,4,0,0
P,5111,PCNA,GO:0007049,biological_process,cell cycle,,210,355,8555,234816,3.615295653959907e-150,3.615295653959907e-150,344.1025903115126,2,2,1,0
S,2030,SLC29A1,GO:0036272,biological_process,response to gemcitabine,,81,265,324,243266,2.725642014401308e-149,2.725642014401308e-149,342.08247485413216,4,1,0,0
N,4790,NFKB1,GO:0003677,molecular_function,DNA binding,,202,4747,651,238336,1.0895160525215876e-148,1.1007481767743875e-148,340.6866036538149,4,15,0,0
K,3791,KDR,GO:0040007,biological_process,growth,,607,536,45525,197268,7.515294428246163e-148,7.600695501294414e-148,338.75435400668533,1,10,0,0
C,1027,CDKN1B,GO:0007049,biological_process,cell cycle,,217,409,8548,234762,1.1654096331234784e-147,1.1654096331234784e-147,338.32693602849463,2,2,1,0
D,1786,DNMT1,GO:0006306,biological_process,DNA methylation,,114,372,1277,242173,7.906616504168465e-146,7.906616504168466e-146,334.1097236360188,4,4,1,1
N,4780,NFE2L2,GO:0098754,biological_process,detoxification,,87,1053,124,242672,2.6209594328140415e-144,2.6209594328140415e-144,330.60871294467233,1,7,1,0
C,891,CCNB1,GO:0007049,biological_process,cell cycle,,175,209,8590,234962,6.161291816474236e-144,6.161291816474236e-144,329.75396692511674,2,2,1,0
F,2335,FN1,GO:0031012,cellular_component,extracellular matrix,,144,857,1437,241498,2.5771116479705383e-143,2.5771116479705383e-143,328.322999042632,3,8,1,1
R,5888,RAD51,GO:0035825,biological_process,homologous recombination,,90,318,569,242959,8.67318577561648e-143,8.67318577561648e-143,327.10943212668064,6,2,1,0
H,3240,HP,GO:0036065,biological_process,fucosylation,,54,39,163,243680,3.1932789981090734e-142,3.1932789981090734e-142,325.8060349171905,3,2,0,0
A,308,ANXA5,GO:0005488,molecular_function,binding,,308,388,20210,223030,2.4106090915698172e-141,2.4618986467096005e-141,323.76356525230096,1,52,0,0
M,4255,MGMT,GO:1990054,biological_process,response to temozolomide,,50,313,3,243570,2.9148239517628468e-139,3.0031519503011146e-139,318.9596655389504,4,1,0,0
V,81671,VMP1,GO:0006914,biological_process,autophagy,,111,48,5912,237865,5.776344528937772e-139,5.776344528937772e-139,318.3055568779989,3,7,0,1
I,3569,IL6,GO:0046903,biological_process,secretion,,301,2007,4901,236727,9.773936656982988e-139,9.773936656982988e-139,317.7796086081124,4,10,1,0
C,1029,CDKN2A,GO:0007049,biological_process,cell cycle,,330,1382,8435,233789,2.4751762037297375e-138,2.493376028757162e-138,316.84310520617356,2,2,1,0
G,2691,GHRH,GO:0040007,biological_process,growth,,288,73,45844,197731,2.8039684183066125e-138,2.8039684183066125e-138,316.7257071271555,1,10,1,0
B,675,BRCA2,GO:0006298,biological_process,mismatch repair,,105,859,484,242488,8.413819287549732e-138,8.538468462180099e-138,315.61216117844185,6,2,0,0
C,925,CD8A,GO:0006955,biological_process,immune response,,151,1641,974,241170,2.1597792109616255e-137,2.1904143770745564e-137,314.67006700097835,2,9,0,1
I,3476,IGBP1,GO:0097503,biological_process,sialylation,,53,23,266,243594,2.5743965296675085e-136,2.5743965296675085e-136,312.2059574979512,5,1,0,0
C,54205,CYCS,GO:0001836,biological_process,release of cytochrome c from mitochondria,,50,469,0,243417,2.174940624129492e-135,2.2232726379990362e-135,310.05000728256016,7,1,0,0
M,4318,MMP9,GO:0001525,biological_process,angiogenesis,,282,1155,7453,235046,1.0666410128584826e-133,1.0666410128584826e-133,306.1793028978049,3,5,0,0
P,10891,PPARGC1A,GO:0006119,biological_process,oxidative phosphorylation,,59,61,325,243491,3.3948597498228126e-133,3.3948597498228126e-133,305.021554918854,3,1,0,0
N,4684,NCAM1,GO:0007155,biological_process,cell adhesion,,93,106,2134,241603,3.595857517359157e-133,3.595857517359157e-133,304.96403487492006,2,7,0,0
I,3480,IGF1R,GO:0040007,biological_process,growth,,695,792,45437,197012,8.490832574157493e-132,8.490832574157493e-132,301.80224521442705,1,10,0,0
Y,10413,YAP1,GO:0035329,biological_process,hippo signaling,,90,1606,142,242098,2.3429124118877433e-130,2.3429124118877433e-130,298.48466731328944,4,1,1,1
E,2069,EREG,GO:0005783,cellular_component,endoplasmic reticulum,,83,236,756,242861,3.3296805827041453e-129,3.3296805827041453e-129,295.83060061795015,5,5,0,0
Z,22882,ZHX2,GO:0023052,biological_process,signaling,,565,572,43771,199028,5.6213277083641167e-129,5.6213277083641167e-129,295.30690911318834,1,6,0,0
T,7124,TNF,GO:0040007,biological_process,growth,,803,1051,45329,196753,6.179119977171967e-129,6.179119977171967e-129,295.2123011334178,1,10,0,0
A,285,ANGPT2,GO:0001525,biological_process,angiogenesis,,125,88,7610,236113,3.0382931124048345e-128,3.0382931124048345e-128,293.6195960216891,3,5,0,1
C,1499,CTNNB1,GO:0005634,cellular_component,nucleus,,381,5528,3203,234824,3.873912884615504e-128,3.8909785801424447e-128,293.37223121422556,5,11,0,12
K,3845,KRAS,GO:0044351,biological_process,macropinocytosis,,165,6872,312,236587,2.6569261736543944e-127,2.667639585644936e-127,291.44711277915485,5,2,0,0
C,1499,CTNNB1,GO:0040007,biological_process,growth,,471,5438,45661,192366,1.2283542935586011e-126,1.2392246855369958e-126,289.9112357867846,1,10,1,0
C,1490,CCN2,GO:0040007,biological_process,growth,,344,167,45788,197637,3.127088934683543e-126,3.127088934683543e-126,288.98561919828194,1,10,0,0
P,728378,POTEF,GO:0023052,biological_process,signaling,,394,261,43942,199339,7.68901170786279e-126,7.68901170786279e-126,288.08592945852394,1,6,0,0
S,8651,SOCS1,GO:0032259,biological_process,methylation,,116,114,5364,238342,1.3055972986961008e-125,1.3055972986961008e-125,287.55647598804353,2,1,0,0
P,5465,PPARA,GO:0005777,cellular_component,peroxisome,,58,61,417,243400,6.883716634821282e-125,6.883716634821282e-125,285.89397790962096,6,9,0,0
P,27250,PDCD4,GO:0012501,biological_process,programmed cell death,,62,65,593,243216,2.001208708533718e-124,2.001208708533718e-124,284.8268001789834,3,10,0,0
E,2064,ERBB2,GO:0040007,biological_process,growth,,977,1509,45155,196295,3.6423488049251566e-124,3.6423488049251566e-124,284.22792278163575,1,10,1,0
C,961,CD47,GO:0006909,biological_process,phagocytosis,,48,56,132,243700,5.264018273290563e-124,5.264018273290563e-124,283.8596568658749,3,1,1,0
C,999,CDH1,GO:0016342,cellular_component,catenin complex,,80,2580,46,241230,1.1559113944076588e-123,1.1624419672574196e-123,283.0674435016731,4,1,1,1
P,5562,PRKAA1,GO:0006914,biological_process,autophagy,,189,620,5834,237293,8.867515652149025e-123,8.867515652149025e-123,281.03557176548946,3,7,0,0
I,3458,IFNG,GO:0046903,biological_process,secretion,,188,727,5014,238007,1.5099911007632947e-122,1.5099911007632947e-122,280.50327758799835,4,10,1,0
I,3486,IGFBP3,GO:0005520,molecular_function,insulin-like growth factor binding,,60,314,125,243437,2.0718214504554877e-122,2.071821450455488e-122,280.1869531971495,4,2,0,1
E,1956,EGFR,GO:0023052,biological_process,signaling,,2538,6524,41798,193076,4.917589744870099e-121,4.936874410536256e-121,277.01606383174317,1,6,0,0
S,57167,SALL4,GO:0006119,biological_process,oxidative phosphorylation,,51,35,333,243517,5.0283285875049835e-121,5.0283285875049835e-121,276.99770861215444,3,1,0,0
A,207,AKT1,GO:0005488,molecular_function,binding,,337,10632,20181,212786,2.8447866464301364e-120,2.8634409850952522e-120,275.2581871160069,1,52,0,0
M,5599,MAPK8,GO:0023052,biological_process,signaling,,663,838,43673,198762,9.767018424409702e-120,9.767018424409702e-120,274.03119991642797,1,6,0,0
C,100133941,CD24,GO:0009986,cellular_component,cell surface,,113,283,2764,240776,1.7088656973387977e-119,1.7088656973387977e-119,273.4717962507704,2,1,1,1
M,5599,MAPK8,GO:0016310,biological_process,phosphorylation,,396,1105,16686,225749,2.1480094232367873e-119,2.1697064881179672e-119,273.2330341668192,5,8,0,0
H,3309,HSPA5,GO:0097707,biological_process,ferroptosis,,74,321,477,243064,1.4032062599959745e-117,1.4032062599959743e-117,269.06369607644893,4,1,0,0
E,83939,EIF2A,GO:0016310,biological_process,phosphorylation,,175,137,16907,226717,7.571566126502773e-116,7.571566126502773e-116,265.0754708553262,5,8,0,0
N,4851,NOTCH1,GO:0023052,biological_process,signaling,,512,524,43824,199076,8.284420961236413e-116,8.284420961236414e-116,264.9854940288869,1,6,0,0
F,2247,FGF2,GO:0040007,biological_process,growth,,429,337,45703,197467,1.9912737656703173e-115,1.9912737656703173e-115,264.10851117709336,1,10,1,0
H,3091,HIF1A,GO:0001525,biological_process,angiogenesis,,334,2027,7401,234174,2.957581719819546e-115,2.957581719819546e-115,263.71291374644215,3,5,0,0
N,4792,NFKBIA,GO:0016310,biological_process,phosphorylation,,197,206,16885,226648,3.454687083651043e-115,3.454687083651043e-115,263.55755381032867,5,8,0,0
S,4089,SMAD4,GO:0005694,cellular_component,chromosome,,200,2011,2467,239258,3.75432535314293e-115,3.75432535314293e-115,263.4743770915146,5,6,0,0
B,646,BNC1,GO:0032259,biological_process,methylation,,85,28,5395,238428,5.566652526063118e-115,5.566652526063118e-115,263.0804918037921,2,1,0,0
C,1493,CTLA4,GO:0012501,biological_process,programmed cell death,,70,220,585,243061,3.0747627077795405e-114,3.0747627077795405e-114,261.37147287124213,3,10,0,0
M,4323,MMP14,GO:0016020,cellular_component,membrane,,146,289,6518,236983,6.64935415360188e-114,6.64935415360188e-114,260.600180871129,2,16,0,0
R,5908,RAP1B,GO:0097354,biological_process,prenylation,,42,43,124,243727,1.0573074347713563e-111,1.0573074347713563e-111,255.5312198017609,3,1,0,0
F,2530,FUT8,GO:0036065,biological_process,fucosylation,,42,31,175,243688,3.985942411109719e-110,3.985942411109719e-110,251.90158645544864,3,2,1,0
I,3630,INS,GO:0046903,biological_process,secretion,,422,5183,4780,233551,7.191503899502193e-110,7.214777374905113e-110,251.30822889346425,4,10,1,0
T,7942,TFEB,GO:0006914,biological_process,autophagy,,100,81,5923,237832,7.49203415496463e-110,7.49203415496463e-110,251.27051988591552,3,7,0,0
P,79728,PALB2,GO:0006281,biological_process,DNA repair,,97,343,1748,241748,3.348742416191808e-109,3.417084098154906e-109,249.75298755182772,5,15,1,0
M,94025,MUC16,GO:0005488,molecular_function,binding,,229,272,20289,223146,4.23706667903861e-109,4.2370666790386105e-109,249.53790392750713,1,52,0,0
C,890,CCNA2,GO:0007049,biological_process,cell cycle,,130,149,8635,235022,7.578759500236414e-109,7.578759500236414e-109,248.9564256044119,2,2,1,0
A,317,APAF1,GO:0043293,cellular_component,apoptosome,,34,45,20,243837,1.6327361582702193e-108,1.6327361582702193e-108,248.18893281114836,2,1,0,1
S,6608,SMO,GO:0023052,biological_process,signaling,,354,250,43982,199350,1.6808058657453875e-108,1.6808058657453875e-108,248.1599166829611,1,6,0,0
C,1036,CDO1,GO:0032259,biological_process,methylation,,84,38,5396,238418,4.422326257877238e-108,4.422326257877238e-108,247.19252418302887,2,1,0,0
R,5888,RAD51,GO:0006281,biological_process,DNA repair,,94,314,1751,241777,7.908759409114075e-108,8.005207694591076e-108,246.59909775163695,5,15,1,1
C,1113,CHGA,GO:0046903,biological_process,secretion,,127,284,5075,238450,3.371671835066221e-107,3.371671835066221e-107,245.16119623552086,4,10,1,0
E,1978,EIF4EBP1,GO:0016310,biological_process,phosphorylation,,174,166,16908,226688,3.2468755067748535e-106,3.2468755067748535e-106,242.8963267059826,5,8,0,0
B,672,BRCA1,GO:0006298,biological_process,mismatch repair,,90,1027,499,242320,9.874100174407086e-106,1.0001507918592984e-105,241.77128398388345,6,2,0,0
A,472,ATM,GO:0006281,biological_process,DNA repair,,116,721,1729,241370,1.002286842324196e-105,1.002286842324196e-105,241.76915053289488,5,15,1,0
A,283,ANG,GO:0001525,biological_process,angiogenesis,,198,681,7537,235520,1.1835371987240392e-105,1.1974611657678513e-105,241.59123114401913,3,5,0,1
A,8289,ARID1A,GO:0006338,biological_process,chromatin remodeling,,54,139,329,243414,1.9402920870261817e-105,1.9402920870261817e-105,241.10859624230986,5,6,1,1
P,5562,PRKAA1,GO:0016310,biological_process,phosphorylation,,267,542,16815,226312,2.288843651681847e-105,2.322015298807671e-105,240.92899929248702,5,8,0,0
A,207,AKT1,GO:0040007,biological_process,growth,,1252,9717,44880,188087,8.558420296588264e-105,8.642878391620385e-105,239.61469908986174,1,10,1,0
A,546,ATRX,GO:0006338,biological_process,chromatin remodeling,,57,200,326,243353,9.749256751301552e-105,9.749256751301552e-105,239.4942437129065,5,6,1,1
I,3630,INS,GO:0006887,biological_process,exocytosis,,104,5501,130,238201,2.6486188190161424e-104,2.6658176425162473e-104,238.4883388531204,3,4,0,0
H,3320,HSP90AA1,GO:0005524,molecular_function,ATP binding,,57,537,123,243219,2.1048773677438535e-103,2.1048773677438535e-103,236.42200737055327,5,1,0,1
